Title,Link,Author,Abstract,Item Type,Subjects,OfficalLink,Divisions,year
Efficient Redundancy Allocation for Reliable Service Function Chains in Edge Computing,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4791/,"Nguyen, Thi-Thuy-LienPham, Tuan-MinhPham, Manh LinhDr. Mạnh Linh Phạm","Ensuring the high reliability of service function chains (SFCs) in Edge Computing, in which several distributed edge servers are available, is a challenging issue. Previous studies on reliable SFCs ignore the impact of physical hardware failures when multiple virtual network functions (VNFs) are deployed on the same server, resulting in inaccurate reliability estimates. In this paper, we first propose an optimization model and approximation algorithm, considering both hardware and software reliability, to maximize the reliability of SFCs in each service demand. We then develop an algorithm to increase the reliability of SFCs to a given requirement. The evaluation results show that our algorithms achieve a near-optimal solution with a significant reduction in the computational time for finding the placement of redundant VNFs. We also observe that our proposed redundancy VNF allocation can efficiently save the backup cost to achieve a given SFC reliability requirement.",Article,"Information Technology (IT)
Scopus-indexed journals
ISI-indexed journals",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4791/1/2022_Efficient%20Redundancy%20Allocation%20for%20Reliable%20Service%20Function%20Chains%20in%20Edge%20Cloud%20Computing_JNSM_submitted.pdf,"Center of Multidisciplinary Integrated Technologies for Field Monitoring (FIMO)
Faculty of Information Technology (FIT)",2023
OPTIMUM SOUND PROPAGATION IN OCEAN: THE COMPARISON BETWEEN NORMAL MODE AND EMPIRICAL FRANCOIS-GARRISON FORMULA,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4804/,"Tran Cao, QuyenTráº§n Cao Quyá»�n","There are not only theory but also the empirical formula to deal with the problem of sound propagation in ocean. As such the Normal mode and Francois-Garrison are typical methods. Optimum sound propagation in ocean is the way we unify these two methods. In this paper, we investigate the transmission losses of both Normal mode and Francois-Garrison at some frequencies (170Hz, 800Hz, 100 KHz) at shallow water conditions (Tonkin gulf). The calculated and simulation results show that the optimum is achieved when the Normal mode is used at low frequencies whereas the Francois-Garrison is used at high frequencies.",Article,"Electronics and Communications > Communications
Electronics and Communications",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4804/1/Optimum%20Sound%20Propagation.pdf,Faculty of Electronics and Telecommunications (FET),2023
Predicting land use effects on flood susceptibility using machine learning and remote sensing in coastal Vietnam,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4811/,"Vu, Van TichNguyen, Huu DuyVu, Phuong LanHa, Minh CuongBui, Van DongNguyen, Thi OanhHoang, Van HiepNguyen, Thanh Kim HuePhD Minh Cuong HA","Flood damage is becoming increasingly severe in the context of climate change and changes in land use. Assessing the effects of these changes on floods is important, to help decision-makers and local authorities understand the causes of worsening floods and propose appropriate measures. The objective of this study was to evaluate the effects of climate and land use change on flood susceptibility in Thua Thien Hue province, Vietnam, using machine learning techniques (support vector machine (SVM) and random forest (RF)) and remote sensing. The machine learning models used a flood inventory including 1,864 flood locations and 11 conditional factors in 2017 and 2021, as the input data. The predictive capacity of the proposed models was assessed using the area under the curve (AUC), the root mean square error (RMSE), and the mean absolute error (MAE). Both proposed models were successful, with AUC values exceeding 0.95 in predicting the effects of climate and land use change on flood susceptibility. The RF model, with AUC = 0.98, outperformed the SVM model (AUC = 0.97). The areas most susceptible to flooding increased between 2017 and 2021 due to increased built-up area. The results of the study confirm machine learning's capacity to assess differences in flood susceptibility.",Article,wpt2023088,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4811/1/wpt2023088.pdf,Aerospace Engineering,2023
Neuromorphic Computing Principles and Organization,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4655/,"Abdallah, Abderazek BenDang, Nam KhanhKhanh N. Dang","his book focuses on neuromorphic computing principles and organization and how to build fault-tolerant scalable hardware for large and medium scale spiking neural networks with learning capabilities. In addition, the book describes in a comprehensive way the organization and how to design a spike-based neuromorphic system to perform network of spiking neurons communication, computing, and adaptive learning for emerging AI applications. The book begins with an overview of neuromorphic computing systems and explores the fundamental concepts of artificial neural networks. Next, we discuss artificial neurons and how they have evolved in their representation of biological neuronal dynamics. Afterward, we discuss implementing these neural networks in neuron models, storage technologies, inter-neuron communication networks, learning, and various design approaches. Then, comes the fundamental design principle to build an efficient neuromorphic system in hardware. The challenges that need to be solved toward building a spiking neural network architecture with many synapses are discussed. Learning in neuromorphic computing systems and the major emerging memory technologies that promise neuromorphic computing are then given. A particular chapter of this book is dedicated to the circuits and architectures used for communication in neuromorphic systems. In particular, the Network-on-Chip fabric is introduced for receiving and transmitting spikes following the Address Event Representation (AER) protocol and the memory accessing method. In addition, the interconnect design principle is covered to help understand the overall concept of on-chip and off-chip communication. Advanced on-chip interconnect technologies, including si-photonic three-dimensional interconnects and fault-tolerant routing algorithms, are also given. The book also covers the main threats of reliability and discusses several recovery methods for multicore neuromorphic systems. This is important for reliable processing in several embedded neuromorphic applications. A reconfigurable design approach that supports multiple target applications via dynamic reconfigurability, network topology independence, and network expandability is also described in the subsequent chapters. The book ends with a case study about a real hardware-software design of a reliable three-dimensional digital neuromorphic processor geared explicitly toward the 3D-ICs biological brain’s three-dimensional structure. The platform enables high integration density and slight spike delay of spiking networks and features a scalable design. We present methods for fault detection and recovery in a neuromorphic system as well. Neuromorphic Computing Principles and Organization is an excellent resource for researchers, scientists, graduate students, and hardware-software engineers dealing with the ever-increasing demands on fault-tolerance, scalability, and low power consumption. It is also an excellent resource for teaching advanced undergraduate and graduate students about the fundamentals concepts, organization, and actual hardware-software design of reliable neuromorphic systems with learning and fault-tolerance capabilities.",Book,"Electronics and Communications > Electronics and Computer Engineering
Information Technology (IT)",https://link.springer.com/book/9783030925246,Key Laboratory for Smart Integrated Systems (SISLAB),2022
Recent Advances and Future Perspectives for the Improvement of Stress Tolerance in Rice Breeding Using CRISPR/Cas9,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4707/,"Bui, Thi Thu HuongNguyen, Thi HongChu, Duc HaHa, Thi QuyenPham, Phuong ThuPhung, Thi Thu HuongLe, Thi Ngoc QuynhNguyen, Quoc TrungDong, Huy GioiNguyen, Thanh HaiNinh, Thi ThaoPh.D. Ha Chu","Rice (Oryza sativa L.) is one of the most important staple crops that is widely cultivated in the world. Due to the critical role of rice in the global food security, great efforts have been made in order to develop new rice varieties with good agronomic traits, such as biotic and abiotic stress tolerance. The CRISPR/Cas9 has emerged as a promising system for the improvement of various traits of crop plants because of its efficiency, simplicity, and versatility. In this mini review, we discussed the applications of the CRISPR/Cas9 gene editing system to improve a wide range of traits in rice varieties adapted to unfavorable conditions. Specifically, a number of functional and regulatory genes that are associated with diseases (rice blast, bacterial blight) and pesticide resistance and abiotic stress (salinity, drought, and cold) tolerance have been functionally characterized via the mutants produced by the CRISPR/Cas9 system. Additionally, the advances and limitations of using CRISPR/Cas9 system in rice plants were discussed. Taken together, our paper could provide a solid foundation for further application of genome editing tools in plant breeding for tackling climate change.",Article,Agriculture Technology,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4707/1/tap-chi-so-1.14.2022.pdf,Faculty of Agriculture Technology (FAT),2022
Business Decision making using Data Science,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4774/,"Bui, Trung NinhNagendra, Singh YadavVishal, GoarPallavi, Singh YadavSubrata, ChowdhuryNguyen, Thi ThuK., VijayakumarBùi Trung Ninh","Several organizations started to adopt the strategy to have data scientist professionals to help them identify the true value of the cost vs benefits and since data science is on fire for a quite long time, adopting the same comes in handy for several factors. i.e., investment, net profit, etc. At the same time, the clarity is missing around what data science is and this tends to introduce the concept of unambiguous theory or assumptions. In this research, we are aiming to pin down the fact of what data science is and how it can lead to crucial decision-making using a data-driven approach. We firmly believe that the accurate limitations of data science scope cannot be defined due to its vast possibilities. If the business wants to align themselves using the data science by understanding the true potential, the following needs to be underlined: 1) understand the importance of related concepts using the relationship approach, 2) identify how fundamental principles of data science can be useful for the different business use case, 3) Identify what the data science can offer depending on our requirement. In this research, we offer a decision-making solution for businesses using the underlying data science principles.",Conference or Workshop Item (Paper),Electronics and Communications > Electronics and Computer Engineering,http://icses2022.stjosephstechnology.ac.in/,Faculty of Electronics and Telecommunications (FET),2022
"Ứng dụng từ trường trong thúc đẩy sinh trưởng, phát triển và sinh khối của cây trồng",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4771/,"Chu, Duc HaLa, Viet HongHa, Thi QuyenNguyen, K.L.Pham, Chau ThuyTran, Dang KhoaNguyen, Dang CoBui, Dinh TuLê, Huy HàmNguyá»�n LÃª Khanh","Thực vật luôn tồn tại và sinh sôi trong điều kiện từ trường (magnetic field, MF) trái đất. Tuy nhiên, cơ chế tác động của từ trường đến thực vật đến nay vẫn chưa được làm sáng tỏ. Bài báo trình bày một cách chi tiết về tác động của từ trường đến sinh trưởng, phát triển và sinh khối của cây trồng. Trong đó, xử lý MF được chứng minh có thể tăng cường hoạt tính của các enzyme phân giải giúp tăng tỷ lệ nảy mầm ở hạt. Xử lý MF cũng giúp kích thích tổng hợp sắc tố ở lá, tăng hiệu quả của quang hợp và hô hấp giúp cây sinh trưởng và phát triển tốt hơn, đồng thời cải thiện được khả năng chống chịu các điều kiện ngoại cảnh bất thuận. Mặc dù vậy, xử lý MF vẫn đặt ra một số câu hỏi liên quan đến độc tính và những tác động môi trường. Tóm lại, bài báo này đã cung cấp một cái nhìn toàn diện về một giải pháp mới trong nghiên cứu sản xuất nông nghiệp bền vững và thân thiện với môi trường.",Article,Agriculture Technology,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4771/1/https_tapchi.vaas.vn_sites_tapchi.vaas.vn_files_tapchi_2022-05_cd13-2022.pdf,Faculty of Agriculture Technology (FAT),2022
"EFFECTS OF GROWING SEASON, PLANTING DENSITY AND NITROGEN FERTILIZER LEVEL ON THE CULTIVATION OF 'HUYET RONG' HERBAL RICE VARIETY IN NGHE AN PROVINCE",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4728/,"Chu, Duc HaTa, Hong LinhPh.D. Ha Chu","The purpose of this research was to analyze the effects of growing seasons, planting densities, and fertilizer levels on the cultivation of of ‘Huyet Rong’ herbal rice variety in Nghe An province. As a result, we demonstrated that the growth, development, productivity, and major pest/disease resistance of the ‘Huyet Rong’ rice variety were significantly altered by these factors. Particularly, the growing season from 20th to 25th, May) was highly recommended as the optimum period for the cultivation of the ‘Huyet Rong’ rice variety. Our results also indicated that the planting density of 25 - 30 hills/m2 and the addition of 70 kg N)/ha exhibited good agronomical characteristics and shared the highest yields, by 3.0 - 3.2 and 3.2 - 3.3 tons/ha, respectively, and also high pest/disease resistance, especially blast disease. Taken together, our study could initially establish the cultivation practices for the ‘Huyet Rong’ herbal rice variety in the areas of the North Central Region.",Article,Agriculture Technology,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4728/1/5458-12828-1-PB.pdf,Faculty of Agriculture Technology (FAT),2022
Masked Face Detection with Illumination Awareness,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4775/,"Dinh, Tran HiepNguyen, Linh TrungTran Hiep Dinh","Mask mandate has been applied in many countries in the last two years as a simple but effective way to limit the Covid-19 transmission. Besides the guidance from authorities regarding mask use in public, numerous vision-based approaches have been developed to aid with the monitoring of face mask wearing. Despite promising results have been obtained, several challenges in vision-based masked face detection still remain, primarily due to the insufficient of a quality dataset covering adequate variations in lighting conditions, object scales, mask types, or occlusion levels. In this paper, we investigate the effectiveness of a lightweight masked face detection system under different lighting conditions and the possibility of enhancing its performance with the employment of an image enhancement algorithm and an illumination awareness classifier. A dataset of human subjects with and without face masks in different lighting conditions is first introduced. An illumination awareness classifier is then trained on the collected dataset, the labeling of which is processed automatically based on the difference in detection accuracy when an image enhancement algorithm is taken into account. Experimental results have shown that the combination of the masked face detection system with the illumination awareness and an image enhancement algorithm can boost the system performance to up to 8.6%, 7.4%, and 8.5% in terms of Accuracy, F1-score, and AP-M, respectively.",Article,"Electronics and Communications > Electronics and Computer Engineering
Information Technology (IT)
ISI/Scopus indexed conference",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4775/1/2022_ISMICT_arxiv%20version.pdf,"Advanced Insitute of Engineering and Technology (AVITECH)
Faculty of Engineering Mechanics and Automation (FEMA)",2022
Vortex particle method with iterative Brinkman penalization for simulation of flow past sharp-shape bodies,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4773/,"Duong Viet, DungLavi Rizki, ZuhalDuong Viet Dung","This paper presents a Lagrangian vortex method combined with iterative Brinkman penalization for the simulation of incompressible flow past a complex geometry. In the proposed algorithm, particle and penalization domains are separately introduced. The particle domain is for the computation of particle convection and diffusion, while the penalization domain is the enforcement of the wall boundary conditions. In iterative Brinkman penalization, the no-slip boundary condition is enforced by applying penalization force in multiple times within each time step. This enables large time step size reducing computational cost and maintains the capability in handling complex geometries. The method is validated for benchmark problems such as an impulsively started flow past a circular cylinder, normal to a flat plate, and a symmetric airfoil at Reynolds numbers ranging from 550 to 1000. The vorticity and streamline contours, drag, and lift coefficients show a good agreement with those reported in literature.",Article,"Aerospace Engineering
Engineering Mechanics
Engineering Physics
Civil Engineering
ISI-indexed journals",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4773/1/17568293221113927.pdf,School of Aerospace Engineering (SAE),2022
