Title,Link,Authors,Description,Publisher,Journal,Citation,Publication date,Volume,Issue,Pages,Inventors,Conference,Total citations,Scholar articles,Book,Source,Patent office,Patent number,Application number,Institution,Report number
UFBoot2: improving the ultrafast bootstrap approximation,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=40kW2KsAAAAJ&citation_for_view=40kW2KsAAAAJ:_kc_bZDykSQC,"Diep Thi Hoang, Olga Chernomor, Arndt Von Haeseler, Bui Quang Minh, Le Sy Vinh",,Oxford University Press,Molecular biology and evolution,,2018/2/1,35,2,518-522,,,"Cited by 5974
2018
2019
2020
2021
2022
2023
2024","UFBoot2: improving the ultrafast bootstrap approximation
DT Hoang, O Chernomor, A Von Haeseler, BQ Minh… - Molecular biology and evolution, 2018
Cited by 5974 Related articles All 15 versions",,,,,,,
POY version 4: phylogenetic analysis using dynamic homologies,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=40kW2KsAAAAJ&citation_for_view=40kW2KsAAAAJ:Se3iqnhoufwC,"Andrés Varón, Le Sy Vinh, Ward C Wheeler",,Blackwell Publishing Ltd,Cladistics,,2010/2,26,1,72-85,,,"Cited by 247
2009
2010
2011
2012
2013
2014
2015
2016
2017
2018
2019
2020
2021
2022
2023","POY version 4: phylogenetic analysis using dynamic homologies
A Varón, LS Vinh, WC Wheeler - Cladistics, 2010
Cited by 247 Related articles All 10 versions",,,,,,,
IQPNNI: moving fast through tree space and stopping in time,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=40kW2KsAAAAJ&citation_for_view=40kW2KsAAAAJ:zYLM7Y9cAGgC,"Le Sy Vinh, Arndt Von Haeseler",,Society for Molecular Biology and Evolution,Molecular biology and evolution,,2004/8/1,21,8,1565-1571,,,"Cited by 185
2009
2010
2011
2012
2013
2014
2015
2016
2017
2018
2019
2020
2021
2022
2023
2024","IQPNNI: moving fast through tree space and stopping in time
LS Vinh, A Von Haeseler - Molecular biology and evolution, 2004
Cited by 185 Related articles All 14 versions",,,,,,,
MPBoot: fast phylogenetic maximum parsimony tree inference and bootstrap approximation,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=40kW2KsAAAAJ&citation_for_view=40kW2KsAAAAJ:R3hNpaxXUhUC,"Diep Thi Hoang, Le Sy Vinh, Tomáš Flouri, Alexandros Stamatakis, Arndt von Haeseler, Bui Quang Minh",,BioMed Central,BMC evolutionary biology,,2018/12,18,1,1-11,,,"Cited by 152
2018
2019
2020
2021
2022
2023
2024","MPBoot: fast phylogenetic maximum parsimony tree inference and bootstrap approximation
DT Hoang, LS Vinh, T Flouri, A Stamatakis… - BMC evolutionary biology, 2018
Cited by 152 Related articles All 14 versions",,,,,,,
pIQPNNI: parallel reconstruction of large maximum likelihood phylogenies,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=40kW2KsAAAAJ&citation_for_view=40kW2KsAAAAJ:IjCSPb-OGe4C,"Bui Quang Minh, Le Sy Vinh, Arndt Von Haeseler, Heiko A Schmidt",,Oxford University Press,Bioinformatics,,2005/10/1,21,19,3794-3796,,,"Cited by 101
2006
2007
2008
2009
2010
2011
2012
2013
2014
2015
2016
2017
2018
2019
2020
2021","pIQPNNI: parallel reconstruction of large maximum likelihood phylogenies
BQ Minh, LS Vinh, A Von Haeseler, HA Schmidt - Bioinformatics, 2005
Cited by 101 Related articles All 9 versions",,,,,,,
"FLU, an amino acid substitution model for influenza proteins",https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=40kW2KsAAAAJ&citation_for_view=40kW2KsAAAAJ:QIV2ME_5wuYC,"Cuong Cao Dang, Quang Si Le, Olivier Gascuel, Vinh Sy Le",,BioMed Central,BMC evolutionary biology,,2010/12,10,1,1-11,,,"Cited by 74
2011
2012
2013
2014
2015
2016
2017
2018
2019
2020
2021
2022
2023","FLU, an amino acid substitution model for influenza proteins
CC Dang, QS Le, O Gascuel, VS Le - BMC evolutionary biology, 2010
Cited by 74 Related articles All 18 versions",,,,,,,
A Vietnamese human genetic variation database,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=40kW2KsAAAAJ&citation_for_view=40kW2KsAAAAJ:maZDTaKrznsC,"Vinh S Le, Kien T Tran, Hoa TP Bui, Huong TT Le, Canh D Nguyen, Duong H Do, Ha TT Ly, Linh TD Pham, Lan TM Dao, Liem T Nguyen",,,Human mutation,,2019/10,40,10,1664-1675,,,"Cited by 44
2019
2020
2021
2022
2023","A Vietnamese human genetic variation database
VS Le, KT Tran, HTP Bui, HTT Le, CD Nguyen, DH Do… - Human mutation, 2019
Cited by 44 Related articles All 5 versions",,,,,,,
QMaker: Fast and accurate method to estimate empirical models of protein evolution,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=40kW2KsAAAAJ&citation_for_view=40kW2KsAAAAJ:pqnbT2bcN3wC,"Bui Quang Minh, Cuong Cao Dang, Le Sy Vinh, Robert Lanfear",,Oxford University Press,Systematic Biology,,2021/9/1,70,5,1046-1060,,,"Cited by 43
2020
2021
2022
2023
2024","QMaker: Fast and accurate method to estimate empirical models of protein evolution
BQ Minh, CC Dang, LS Vinh, R Lanfear - Systematic Biology, 2021
Cited by 43 Related articles All 11 versions",,,,,,,
Mechanisms of sex determination and transmission ratio distortion in Aedes aegypti,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=40kW2KsAAAAJ&citation_for_view=40kW2KsAAAAJ:JV2RwH3_ST0C,"Kim Phuc Hoang, Tze Min Teo, Thien Xuan Ho, Vinh Sy Le",,BioMed Central,Parasites & vectors,,2016/12,9,1,1-13,,,"Cited by 35
2016
2017
2018
2019
2020
2021
2022
2023","Mechanisms of sex determination and transmission ratio distortion in Aedes aegypti
KP Hoang, TM Teo, TX Ho, VS Le - Parasites & vectors, 2016
Cited by 35 Related articles All 16 versions",,,,,,,
Improved mitochondrial amino acid substitution models for metazoan evolutionary studies,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=40kW2KsAAAAJ&citation_for_view=40kW2KsAAAAJ:dhFuZR0502QC,"Vinh Sy Le, Cuong Cao Dang, Quang Si Le",,BioMed Central,BMC Evolutionary Biology,,2017/12,17,,1-13,,,"Cited by 32
2017
2018
2019
2020
2021
2022
2023","Improved mitochondrial amino acid substitution models for metazoan evolutionary studies
VS Le, CC Dang, QS Le - BMC Evolutionary Biology, 2017
Cited by 32 Related articles All 18 versions",,,,,,,
